State,['Government'],['Weather'],['Economy'],['Nature'],['Lifestyle'],['Overall']
Alabama,1.8,8.7,12.7,9.8,9.0,8.4
Alaska,12.8,5.0,8.0,21.8,3.3,10.3
Arizona,3.6,18.7,11.8,25.7,30.5,18.0
Arkansas,5.7,12.2,10.6,24.1,14.6,13.299999999999999
California,4.7,11.8,9.4,23.3,21.9,14.299999999999999
Colorado,2.6,15.2,11.3,27.7,26.7,16.6
Connecticut,10.7,9.8,9.4,5.9,29.1,13.0
Delaware,12.5,19.0,9.7,18.0,-13.4,9.099999999999998
Florida,3.3,11.8,8.1,22.6,21.5,13.5
Georgia,13.1,8.3,26.0,20.2,12.1,15.9
Hawaii,5.5,14.7,12.6,40.4,24.3,19.5
Idaho,1.7,16.7,0.8,22.2,15.3,11.299999999999999
Illinois,-2.3,10.9,8.1,22.3,11.1,10.0
Indiana,-0.9,13.2,2.6,27.4,14.9,11.4
Iowa,8.8,12.5,9.1,23.4,37.4,18.3
Kansas,9.2,7.9,32.0,14.5,13.0,15.3
Kentucky,2.4,8.8,24.3,26.8,19.4,16.5
Louisiana,8.0,4.7,-7.5,10.0,6.6,4.3
Maine,6.5,8.9,12.3,38.8,19.4,17.299999999999997
Maryland,4.3,17.7,10.9,22.2,23.0,15.6
Massachusetts,5.7,11.0,8.5,10.9,16.3,10.5
Michigan,-1.7,8.9,9.6,19.1,31.7,13.5
Minnesota,2.2,15.0,24.7,24.4,20.7,17.3
Mississippi,10.2,17.9,11.0,22.0,7.7,13.7
Missouri,2.8,9.4,8.2,27.1,7.4,11.0
Montana,2.7,14.3,10.0,22.6,13.9,12.7
Nebraska,11.4,16.8,13.1,23.4,10.1,15.0
Nevada,1.6,17.1,8.2,16.7,-0.7,8.5
New Hampshire,7.7,11.7,18.7,16.3,17.6,14.3
New Jersey,11.3,14.5,16.6,9.0,17.7,13.8
New Mexico,9.0,12.1,13.1,16.5,15.0,13.100000000000001
New York,8.2,13.1,8.7,16.8,13.4,12.0
North Carolina,5.5,15.3,9.1,31.1,2.0,12.6
North Dakota,10.3,16.9,10.9,3.1,15.0,11.3
Ohio,1.5,11.9,1.5,15.2,15.4,9.1
Oklahoma,6.8,8.2,12.1,21.8,16.8,13.200000000000001
Oregon,-2.3,10.1,7.7,26.9,28.6,14.100000000000001
Pennsylvania,3.7,11.7,6.3,10.0,28.9,12.1
Rhode Island,11.7,19.8,13.6,39.1,nan,nan
South Carolina,12.5,23.9,12.5,35.3,6.7,18.2
South Dakota,5.1,23.2,11.8,26.5,18.6,17.0
Tennessee,5.7,23.5,10.7,28.7,27.8,19.200000000000003
Texas,9.0,12.4,11.2,12.7,16.4,12.3
Utah,8.6,10.5,21.5,27.6,22.3,18.1
Vermont,10.1,24.6,11.0,33.0,41.9,24.1
Virginia,6.8,17.9,7.8,14.9,16.3,12.899999999999999
Washington,4.6,12.7,10.3,20.0,-17.6,6.0
West Virginia,7.8,11.7,8.7,20.5,-33.9,2.8999999999999995
Wisconsin,5.1,11.3,10.3,20.4,9.9,11.5
Wyoming,11.8,7.8,9.6,18.5,20.7,13.700000000000001
